Hjemmelag,Bortelag,Resultat,Tid,Plan,Matchnr,Gruppe,Runde
Lervik IF,Oppsal IF Fotball 4,,søndag 31/05 13:40,Park & Anlegg Arena 8,31057214,J11 (f 2015) Søndag Plj D,
Oppsal IF Fotball 3,Kolbotn IL Hvit,,søndag 31/05 14:00,Østfold energi arena 31,31057515,J11 (f 2015) Søndag Plj I,
Oppsal IF Fotball 2,Kolbotn IL Blå,,søndag 31/05 14:20,Østfold energi arena 26,31055316,J11 (f 2015) Søndag Plj F,
Råde IL 2,Oppsal IF Fotball 4,,søndag 31/05 14:40,Park & Anlegg Arena 1,31056517,J11 (f 2015) Søndag Plj D,
Rolvsøy IF 1,Oppsal IF Fotball 2,,søndag 31/05 15:00,Østfold energi arena 30,31055718,J11 (f 2015) Søndag Plj F,
Sportsklubben Rapid - Moss 2,Oppsal IF Fotball 1,,søndag 31/05 15:00,Park & Anlegg Arena 4,31056818,J11 (f 2015) Søndag Plj C,
Oppsal IF Fotball 4,Gjelleråsen Rød,,søndag 31/05 15:20,Østfold energi arena 28,31055519,J11 (f 2015) Søndag Plj D,
Oppsal IF Fotball 3,Rustad Abildsø Sportsklubb 1,,søndag 31/05 15:20,Østfold energi arena 31,31057519,J11 (f 2015) Søndag Plj I,
Oppsal IF Fotball 1,"Jutul, IL",,søndag 31/05 16:00,Park & Anlegg Arena 7,31057121,J11 (f 2015) Søndag Plj C,
Ås IL Fotball,Oppsal IF Fotball 1,,søndag 31/05 16:40,Østfold energi arena 26,31055323,J11 (f 2015) Søndag Plj C,
Oppsal IF Fotball 1,Askim Fotball Hvit,,søndag 31/05 17:40,Park & Anlegg Arena 6,31057026,J11 (f 2015) Søndag Plj C,
